keyword	TC	Centrality	Burst	PY	BurstBegin	BurstEnd	Span	HalfLife2	Status	WaitingTime
@PHRASEneural network	21.0	0.04520915524530117	3.782	2017	2020	2021	2	3.5	1	3
@PHRASEsystem	36.0	0.1372592434587768	3.4624	2006	2006	2014	9	13.5	1	0
@PHRASEconvolutional neural network	10.0	0.004304728761106239	3.8458	2019	2019	2021	3	0.5	1	0
@PHRASErecognition	27.0	0.12180370142631573	3.448	2005	2005	2018	14	12.5	1	0
@PHRASEmodel	79.0	0.15850252869508846	6.6837	2005	2009	2015	7	13.5	1	4
@PHRASEsemantic web	16.0	0.040274199498127244	6.5377	2006	2006	2013	8	5.5	1	0
@PHRASEword embeddings	13.0	0.004053480608504826	3.9132	2017	2017	2020	4	1.5	1	0
@PHRASEontology	13.0	0.0898167336024535	3.3033	2011	2011	2017	7	4.5	1	0
@PHRASElanguage	50.0	0.11394750735472736	5.2843	2005	2005	2014	10	12.5	1	0
@PHRASElanguage modeling	13.0	0.05662168538538348	3.4114	2014	2014	2019	6	4.5	1	0
@PHRASEmodels	38.0	0.024350965391823718	3.9959	2009	2012	2020	9	9.5	1	3
@PHRASEsemantic similarity	8.0	0.01292551184736063	3.0194	2014	2014	2020	7	4.5	1	0
@PHRASEsystems	21.0	0.21650211655848192	3.8495	2005	2012	2015	4	11.5	1	7
@PHRASEtransfer learning	34.0	0.04744688478041037	4.4085	2017	2021	2023	3	3.5	1	4
@PHRASEdynamics	6.0	0.06084370780653289	3.5433	2011	2011	2015	5	1.5	1	0
@PHRASEinformation	34.0	0.1177558318786297	5.6076	2005	2012	2015	4	12.5	1	7
@PHRASEstatistical machine translation	8.0	0.010883167773627283	3.2856	2015	2015	2019	5	1.5	1	0
